detector eta pt phi_res phi_resE theta_res theta_resE
TPC 3 5 0.00331024 2.69187e-05 0.000654927 5.30379e-06
TPC 3 6 0.00326709 2.66278e-05 0.000543625 4.41374e-06
TPC 3 7 0.00330017 2.698e-05 0.00042649 3.47257e-06
TPC 3 8 0.00326933 2.65247e-05 0.000332543 2.68986e-06
TPC 3 9 0.00300448 2.44e-05 0.000393993 3.18899e-06
TPC 3 10 0.00313838 2.5659e-05 0.00023544 1.91865e-06
TPC 3 20 0.0032483 2.64905e-05 0.000145208 1.17857e-06
TPC 3 30 0.00315048 2.57424e-05 0.000144035 1.17214e-06
TPC 3 40 0.00316725 2.58709e-05 8.07455e-05 6.56836e-07
TPC 3 50 0.00305087 2.48112e-05 8.04319e-05 6.52132e-07
