detector nhit eta pt phi_res phi_resE theta_res theta_resE pt_res pt_resE p_res p_resE
MM_6_3x2_2D 2 0.017454178683585186 7 0.000507246 4.05582e-06 0.000234513 2.04288e-06 0.0156831 0.000118411 0.0156842 0.000118399
MM_6_3x2_2D 3 0.017454178683585186 7 0.000512308 3.98376e-06 0.000230735 2.03167e-06 0.0158391 0.000121999 0.0158369 0.000121976
MM_6_3x2_2D 5 0.017454178683585186 7 0.000529281 4.06821e-06 0.00023328 1.96295e-06 0.0161948 0.000122468 0.0162012 0.000122495
MM_6_3x2_2D 1 0.017454178683585186 8 0.000504334 3.74755e-06 0.000199169 1.73369e-06 0.0179965 0.000136306 0.0179985 0.000136289
MM_6_3x2_2D 2 0.017454178683585186 8 0.000501839 3.81716e-06 0.000198986 1.69446e-06 0.017603 0.000131201 0.0176032 0.000131207
MM_6_3x2_2D 3 0.017454178683585186 8 0.000500959 3.87154e-06 0.000199188 1.73734e-06 0.0175224 0.000130322 0.0175219 0.000130342
MM_6_3x2_2D 5 0.017454178683585186 8 0.000509461 3.99536e-06 0.000202277 1.81739e-06 0.0179701 0.00014133 0.01796 0.000140921
MM_6_3x2_2D 1 0.017454178683585186 9 0.000492479 3.82703e-06 0.000176439 1.51806e-06 0.0195772 0.000153465 0.0195777 0.000153462
MM_6_3x2_2D 2 0.017454178683585186 9 0.000488837 3.59163e-06 0.000176 1.5257e-06 0.0192701 0.00014568 0.0192689 0.000145716
MM_6_3x2_2D 3 0.017454178683585186 9 0.000500872 3.86156e-06 0.000174118 1.46854e-06 0.0196419 0.000154364 0.019644 0.000154369
MM_6_3x2_2D 5 0.017454178683585186 9 0.00049923 3.96973e-06 0.000177408 1.5309e-06 0.0197668 0.000153264 0.0197683 0.000153152
MM_6_3x2_2D 1 0.017454178683585186 10 0.000487017 3.75995e-06 0.000156403 1.35661e-06 0.0215183 0.000170056 0.0215164 0.000170066
MM_6_3x2_2D 2 0.017454178683585186 10 0.000491997 3.85347e-06 0.000155581 1.30293e-06 0.0214314 0.000166586 0.0214318 0.00016658
MM_6_3x2_2D 3 0.017454178683585186 10 0.000481059 3.63823e-06 0.000155966 1.34144e-06 0.0214246 0.000169696 0.0214231 0.000169699
MM_6_3x2_2D 5 0.017454178683585186 10 0.000490836 3.84959e-06 0.000154809 1.31656e-06 0.0212024 0.000158528 0.0212026 0.000158521
MM_6_eq_2D 1 0.9316316147538235 1 0.00167847 1.41277e-05 0.00180667 1.55455e-05 0.00903608 7.91761e-05 0.0087644 7.5645e-05
MM_6_eq_2D 2 0.9316316147538235 1 0.00168544 1.41544e-05 0.00181047 1.51733e-05 0.00900293 7.74916e-05 0.00879971 7.45187e-05
MM_6_eq_2D 3 0.9316316147538235 1 0.00168392 1.44346e-05 0.00185979 1.59291e-05 0.00907692 7.49433e-05 0.00876607 7.16636e-05
MM_6_eq_2D 5 0.9316316147538235 1 0.00166974 1.38064e-05 0.00182073 1.49476e-05 0.00897056 7.94096e-05 0.00880072 7.71767e-05
MM_6_eq_2D 1 0.9316316147538235 2 0.00100947 7.92526e-06 0.000898972 7.74944e-06 0.0100498 8.07677e-05 0.00998183 8.0027e-05
MM_6_eq_2D 2 0.9316316147538235 2 0.00101758 7.9934e-06 0.000904227 7.64163e-06 0.0100329 8.25851e-05 0.00992858 8.14262e-05
MM_6_eq_2D 3 0.9316316147538235 2 0.00101732 8.33784e-06 0.000916246 7.56575e-06 0.010148 8.27585e-05 0.0101001 8.15749e-05
MM_6_eq_2D 5 0.9316316147538235 2 0.00100188 8.07149e-06 0.000897937 7.48666e-06 0.00997342 8.36116e-05 0.0099003 8.32728e-05
MM_6_eq_2D 1 0.9316316147538235 3 0.000808633 6.1976e-06 0.00059015 5.0834e-06 0.0115021 9.40219e-05 0.0114834 9.43716e-05
MM_6_eq_2D 2 0.9316316147538235 3 0.000800276 6.37007e-06 0.000586452 5e-06 0.0115689 9.25794e-05 0.011552 9.27294e-05
MM_6_eq_2D 3 0.9316316147538235 3 0.00080847 6.26941e-06 0.000596659 5.12019e-06 0.0114237 9.21857e-05 0.0114067 9.17219e-05
MM_6_eq_2D 5 0.9316316147538235 3 0.000808585 6.46901e-06 0.000603142 5.09686e-06 0.0113864 9.03408e-05 0.0113968 9.25709e-05
MM_6_eq_2D 1 0.9316316147538235 4 0.000705655 5.52715e-06 0.000429305 3.70297e-06 0.0129491 0.000104082 0.0129435 0.00010342
MM_6_eq_2D 2 0.9316316147538235 4 0.000704316 5.71422e-06 0.000433386 3.6959e-06 0.0127293 0.000102145 0.0127295 0.000102306
MM_6_eq_2D 3 0.9316316147538235 4 0.000688429 5.4484e-06 0.000430824 3.64081e-06 0.0127286 0.000100695 0.0126902 9.98842e-05
MM_6_eq_2D 5 0.9316316147538235 4 0.00069166 5.37571e-06 0.000420597 3.41459e-06 0.0128356 0.000100137 0.0127583 9.82124e-05
MM_6_eq_2D 1 0.9316316147538235 5 0.000634174 5.01598e-06 0.000329282 2.90078e-06 0.0141444 0.000111881 0.014129 0.000111826
MM_6_eq_2D 2 0.9316316147538235 5 0.000631317 4.78729e-06 0.000330091 2.74314e-06 0.0142161 0.000112259 0.014243 0.000112484
